Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,543943,469050,23509932,9744934,43.22,3051
2,China,Asiatic Region,222943,221145,3717843,1970829,16.68,1333
3,United Kingdom,Western Europe,157611,129869,6609444,1344397,41.94,1928
4,Germany,Western Europe,133436,122165,5000263,1068313,37.47,1690
5,Japan,Asiatic Region,124522,120028,3276541,746293,26.31,1301
6,France,Western Europe,92965,86318,3372021,625862,36.27,1514
7,Canada,Northern America,79926,70991,3391590,523185,42.43,1562
8,Italy,Western Europe,75256,69013,2646892,533898,35.17,1333
9,Spain,Western Europe,58684,54203,2020817,395317,34.44,1215
10,Australia,Pacific Region,55381,48885,2275981,416601,41.1,1377
11,India,Asiatic Region,53051,49684,1292834,425086,24.37,858
12,South Korea,Asiatic Region,48405,47437,1192514,199559,24.64,934
13,Netherlands,Western Europe,41690,37109,2174959,279865,52.17,1373
14,Brazil,Latin America,37925,36242,926093,306230,24.42,789
15,Russian Federation,Eastern Europe,36612,35912,552389,162139,15.09,753
16,Taiwan,Asiatic Region,32123,31287,787490,128513,24.51,688
17,Switzerland,Western Europe,30311,27600,1579604,169372,52.11,1291
18,Poland,Eastern Europe,27238,26409,540042,109114,19.83,738
19,Sweden,Western Europe,26871,24930,1260160,152576,46.9,1159
20,Turkey,Middle East,25615,24318,642628,117361,25.09,601
21,Belgium,Western Europe,22726,20742,1011858,109609,44.52,1067
22,Israel,Middle East,16913,15387,685280,75344,40.52,914
23,Austria,Western Europe,16553,15167,645125,68100,38.97,877
24,Greece,Western Europe,15633,14446,483584,60624,30.93,685
25,Iran,Middle East,15330,14968,340842,104588,22.23,490
26,Denmark,Western Europe,15223,13799,810390,87891,53.23,1014
27,Finland,Western Europe,14375,13394,599837,71419,41.73,847
28,Hong Kong,Asiatic Region,13706,12726,576966,52849,42.1,800
29,Czech Republic,Eastern Europe,13450,13073,305900,55166,22.74,625
30,Mexico,Latin America,13187,12613,313002,58089,23.74,598
31,Norway,Western Europe,12718,11544,546429,68433,42.97,843
32,Singapore,Asiatic Region,12014,11013,448615,37710,37.34,806
33,Portugal,Western Europe,11066,10467,395412,58471,35.73,685
34,New Zealand,Pacific Region,10430,9179,417707,47202,40.05,716
35,South Africa,Africa,9657,8664,298868,59175,30.95,652
36,Ireland,Western Europe,9128,8022,363132,31404,39.78,711
37,Hungary,Eastern Europe,8679,8200,245583,29563,28.3,599
38,Argentina,Latin America,8266,7837,250436,45168,30.3,568
39,Ukraine,Eastern Europe,6983,6867,93782,21354,13.43,358
40,Romania,Eastern Europe,6820,6655,104273,18924,15.29,419
41,Thailand,Asiatic Region,6742,6462,203420,26794,30.17,452
42,Egypt,Africa/Middle East,5991,5839,139235,22969,23.24,409
43,Malaysia,Asiatic Region,5426,5168,123735,24269,22.8,504
44,Chile,Latin America,5381,5106,161624,29658,30.04,515
45,Croatia,Eastern Europe,4678,4480,76606,12886,16.38,380
46,Pakistan,Asiatic Region,4358,4164,96098,21461,22.05,428
47,Slovakia,Eastern Europe,4195,4072,93151,11900,22.21,355
48,Slovenia,Eastern Europe,4043,3900,105840,14452,26.18,409
49,Nigeria,Africa,3726,3605,68798,14604,18.46,303
50,Bulgaria,Eastern Europe,3649,3545,69751,8271,19.12,347
51,Tunisia,Africa,3092,3004,62720,11390,20.28,271
52,Saudi Arabia,Middle East,2967,2824,62357,8920,21.02,568
53,Serbia,Eastern Europe,2703,2585,45582,7428,16.86,350
54,Colombia,Latin America,2556,2440,65891,8868,25.78,405
55,Lithuania,Eastern Europe,2208,2146,38435,6541,17.41,298
56,Algeria,Africa,2058,2045,36188,6796,17.58,239
57,Venezuela,Latin America,2058,1973,42650,3592,20.72,279
58,Cuba,Latin America,1892,1784,25321,3850,13.38,223
59,Belarus,Eastern Europe,1822,1736,20305,2982,11.14,232
60,Morocco,Africa,1658,1586,35082,5756,21.16,261
